xYear,xMonth,State,County,Age_Group,rundatetime,PatCount_Opioid,Population
2025,1,CA,Kings,25-44 yrs,07SEP2025:04:03:55,671,"149,259"
2025,1,CA,Lake,25-44 yrs,07SEP2025:04:03:55,329,"64,223"
2025,1,CA,Lassen,25-44 yrs,07SEP2025:04:03:55,92,"33,006"
2025,1,CA,Los Angeles,25-44 yrs,07SEP2025:04:03:55,27278,10074537
2025,1,CA,Madera,25-44 yrs,07SEP2025:04:03:55,577,"154,817"
2025,1,CA,Marin,25-44 yrs,07SEP2025:04:03:55,578,"259,087"
2025,1,CA,Mariposa,25-44 yrs,07SEP2025:04:03:55,66,"16,005"
2025,1,CA,Mendocino,25-44 yrs,07SEP2025:04:03:55,374,"86,841"
2025,1,CA,Merced,25-44 yrs,07SEP2025:04:03:55,1340,"269,998"
2025,1,CA,Modoc,25-44 yrs,07SEP2025:04:03:55,22,"7,849"
2025,1,CA,Mono,25-44 yrs,07SEP2025:04:03:55,33,"12,753"
2025,1,CA,Monterey,25-44 yrs,07SEP2025:04:03:55,1121,"419,825"
2025,1,CA,Napa,25-44 yrs,07SEP2025:04:03:55,456,"140,274"
2025,1,CA,Nevada,25-44 yrs,07SEP2025:04:03:55,392,"96,666"
2025,1,CA,Orange,25-44 yrs,07SEP2025:04:03:55,8828,"3,175,209"
2025,1,CA,Placer,25-44 yrs,07SEP2025:04:03:55,1519,"388,469"
2025,1,CA,Plumas,25-44 yrs,07SEP2025:04:03:55,54,"17,201"
2025,1,CA,Riverside,25-44 yrs,07SEP2025:04:03:55,9515,"2,413,438"
2025,1,CA,Sacramento,25-44 yrs,07SEP2025:04:03:55,6704,"1,526,256"
2025,1,CA,San Benito,25-44 yrs,07SEP2025:04:03:55,216,"58,830"
2025,1,CA,San Bernardino,25-44 yrs,07SEP2025:04:03:55,9326,"2,145,184"
2025,1,CA,San Diego,25-44 yrs,07SEP2025:04:03:55,10275,"3,310,766"
2025,1,CA,San Francisco,25-44 yrs,07SEP2025:04:03:55,2264,"874,961"
2025,1,CA,San Joaquin,25-44 yrs,07SEP2025:04:03:55,3016,"741,463"
